chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,1,18046,B03,0,C125605,0,0,0,0,0,0,0,0,0,5.4904375,18.793405625,0,0,0,23.30726875,0,0,0,0,0,0,0,0,0,0,0,5.555553125,6.054681375,0,0,0,0,7.3350659375,15.2126654375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,C03,0,C125605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40885375,0.889756375,0,0,0,11.0677096875,0.108506875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,D03,0,C125605,0.04340275,0,0,20.334225,0.0651041875,0,0,0,0,0,0,0,20.76822125,0,0.021701375,0,19.5963440625,0,0,0,0,0,23.090288125,0,0,0,0,22.56946875,0.108506875,0,0,37.19614375,66.7317896875,53.4939125,7.0746443125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,E03,0,C125605,11.2413121875,4.5572925,0,0,0,0,18.61976875,0,0,0,0,0,0,0,18.619784375,0,0,0,11.1979059375,0,0,17.0790125,4.5572909375,0,0,0,0,0,0,0,9.6788159375,0.13020825,1.7361125,15.451383875,0,0,0,0.021701375,0,0,0,0,0.021701375,0,0,0,0,0,0
3530,1,18046,F03,0,C125605,0,0,0,0,0,0,0,2.8428821875,0.021701375,0,22.3090295,0,0,0,0,10.4600696875,0,0,0,0,0,15.6033059375,0,0,0,23.003481875,0,0,0,10.5034665625,0,15.125880625,1.67100625,2.1050329375,1.497398125,1.2803815625,0,0,0,0,0,0.021701375,0,0,5.251734375,0,0,0,0
3530,1,18046,G03,0,C125605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.992203125,0.7161460625,0,0,0,17.447935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18046,H03,0,C125605,0,0,0,0.238715125,21.41925625,0,0,0,0,0,0,22.200534375,0.8680559375,0,0,0,0,0,20.92015,0.0434028125,0,0,0,11.545125,11.219616875,0,0,0,0,0,0,0,39.8003446875,12.565125125,0,10.3515554375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,A04,0,C125605,0,0,0,0,0,0,17.7083509375,0,18.2942690625,0,0,0,0,0,0,0,0,0,0,0,0,17.252604375,0,0,0,0.108506875,18.40275075,0,0,0,0,0,0,0,18.46787575,0,0,0,18.5980960625,0,0,0,0,0,0,0,0,0,0
3530,1,18046,B04,0,C125605,0,0,0,0,0,0,17.68661625,0,0,0,0,0,15.6032884375,0,0,0,0,0,0,19.379324,0,0,0,6.3585,13.25954875,15.5598934375,0,0,0,0,0,18.3376621875,26.410555625,30.967884375,17.03558625,0.1302084375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,C04,0,C125605,0,0,0,0,11.24132625,0.021701375,0,0,15.3428653125,0.086805625,0,6.3368075,0,0,0,0,0,0,0,0,0,4.1449634375,0.3689235625,0,0,11.78385,7.0312375,0,0,0,0,0,0,0,0,18.77171875,2.539061,0,0,0,0,0,0,0,0,0,0,0,0
