chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,C125605,0,18039,H09,0,0,0,0,0,0,0,10.2430721875,0.04340275,0,16.90538825,0,0,0,0,0,0,0,8.37673325,0,0,0,0,0,0,5.68575,3.927950125,8.637165625,2.5607645,0,0,0,0,0,14.17100375,0.0651041875,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H10,0,14.192696875,0,6.40191075,0,0,15.364596875,0,0,0,0,2.864584375,6.3368146875,0,0,4.9913125,12.999120125,0,0,0,0,17.5781353125,7.85590625,2.4739596875,0,0,0,17.2092273125,0,6.271701875,0,0,0,0,0,0,0,0,0,14.97394375,1.1501725,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H11,0,0,15.972222125,0,0,0,0,0,0,5.42534375,15.3211675,2.625867,0,0,0,0,0,0,16.0373465,0,0,0,0,15.581595125,0,0,13.4765685625,0,0,0,0,0,16.9921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H12,0,0,3.5373259375,0,8.76735125,6.5538090625,0,0,3.1684,0.781250625,0,0,0,1.193575,6.9010346875,0,0,3.79775,1.367186875,0,0,0,0,0,0,17.3176895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90972325,0,0,0,0,1.7361096875,0,0,0.390625,0,0,1.9748271875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A02,3.6241303125,0,2.821182625,0,0,5.1866298125,0,0,0,0,0,0,5.4470429375,0.21701375,0,0,5.2083346875,3.6241321875,0,0,6.032985,0,0,5.881071875,1.7144065625,7.1831493125,0.6293398125,0,0,0,0,0,0,0,0,0,5.9244798125,0.390626375,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A03,0.021701375,0,0,0,0,6.2065996875,0,0,0,0,0,0,0,0,2.9730895,0.021701375,4.36198,0.3472223125,5.44704825,0,0,0,0,0,0,0,0,5.772571875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A04,0,0,0,0,0,0,5.425346875,0.2821180625,9.9826275,0,0,2.495659375,7.7690905625,0,0,0,0,0,0,0,0,0,8.311634375,1.2803841875,0,0,0,0,0,10.199668125,10.308171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A05,0,0,0,0,0,12.478326375,0,0,0,0,0,0,2.994790625,0,12.196175,0,2.278645125,0,3.66753325,0,5.5338546875,0,6.814235,0,0,0,0,0,0,0.021701375,2.3871509375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A06,0,0,0,0,0,0,0,0,0,0,0,3.6892366875,0,0,0.021701375,0,0,0,4.622396875,0,0,0,2.9947921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A07,0,0,0.86805625,2.7777765,4.4270845,3.971353125,7.00955,0.4557291875,0,2.8211803125,4.557290625,0.260416875,0,4.079859625,3.602420125,2.86458325,4.2534710625,0,0,0,0,0,0,7.1831590625,0.1519095,0,0.021701375,5.750869375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A08,5.0130179375,0,0,0,5.8159690625,0,0,0,0,14.1709975625,0,0,0,0,0,4.0581596875,0.021701375,0,0,0.390625,4.0147573125,0,0,1.5625,4.47048575,0,0,0,2.95138625,0,0,0,0,1.6710084375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A09,0,0,0,11.2847291875,0,0,0,0,0,10.0911584375,0,0,0,0,0,0,0,0,0,0,0,0,6.727433125,2.2352460625,0,0,0,0,0,8.702240625,2.62587075,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A10,0,0,0,0,0,0,0,0,0,13.38975625,0.5859366875,0,2.2786454375,0,0,0,0,0,0,0,0,0,15.6249734375,0,0,0,0,0,0,0,14.6918453125,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0
3530,C125605,1,18034,A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8680545,0.0868055625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.801216375,0.0434028125,1.692707625,0,0,0,0.477430125,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,A12,0,0,0.390626375,0.7812490625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36892325,0,0,0.629338875,0,0,0,0,0,0,0.390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434028125,0
3530,C125605,1,18034,B01,0,0,0,7.33506875,0.04340275,0,6.9661459375,0,0,0,4.557276875,0.021701375,0,0,0,6.2934036875,0.04340275,0,0,2.4956625,0,0,0,0,4.0147559375,2.452257,0,5.772568125,0.021701375,0,5.03472125,0.868054125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B02,0,0,6.3151061875,0,0,0,6.05468375,0.021701375,0,2.018230875,0,0,0,1.9097209375,0.0434028125,5.23003375,0,0,0,0,3.2335065625,0,0,0,0,5.9895821875,0.108506875,0,0,0,5.881078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B03,2.191840625,1.888022875,0,0,0,0,0,0,0,2.495657625,1.28038125,0,0.108506875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67274375,2.0399304375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B04,0.99826325,0,0,0,0,0,0,5.6640615625,0.0651041875,0,0,0,0,6.423604375,1.3237848125,0,5.859375,0.7378475625,0,0,0,0,4.7092,2.0182301875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,1,18034,B05,0,1.1284728125,0,0,0,0,0,0,0.5859384375,0,0,0,0,0,0,0,0,0.2604165625,0.8029525,0,0,0,0,0.4340290625,0.0651041875,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0
3530,C125605,1,18034,B06,0,0,0,0,0,0,0,0,0,0,0,5.7074653125,0,0,0,0,0,5.4687540625,0,0,0,0,0,0,0,0,0,0,0,0,0.629340625,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,5.5772625,0
